"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Ghoulcaller's Harvest","BG","R","4460","22.0%","48.1%","669","43.5%"
"Rite of Harmony","WG","R","1465","6.6%","48.1%","217",""
"Moonsilver Key","","U","2286","3.2%","47.3%","446",""
"Field of Ruin","","U","1423","2.1%","46.5%","222",""
"Return to Nature","G","C","1196","0.7%","45.5%","181",""
"Dire-Strain Rampage","RG","R","1177","5.4%","44.9%","194",""
"Duress","B","C","1747","1.2%","44.5%","313",""
"Curse of Shaken Faith","R","R","906","5.4%","41.2%","150",""
"Curse of Silence","W","R","66","0.2%","","11",""
"Pithing Needle","","R","60","0.2%","","10",""
