"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Synchronized Strike","G","U","4228","59.8%","55.8%","694","57.1%"
"Sheltered Thicket","","R","1605","67.6%","55.8%","302",""
"Anger of the Gods","R","R","1512","67.9%","55.7%","272",""
"Those Who Serve","W","C","6345","37.0%","55.6%","1254","55.8%"
"Horror of the Broken Lands","B","C","13048","68.3%","55.6%","2985","54.2%"
"Hooded Brawler","G","C","13510","68.3%","55.6%","3266","55.3%"
"Aerial Guide","U","C","11450","66.7%","55.6%","2521","53.6%"
"Irrigated Farmland","","R","1620","67.3%","55.6%","272",""
"Bitterbow Sharpshooters","G","C","11486","68.6%","55.6%","2276","53.6%"
"Wasp of the Bitter End","B","U","4312","65.3%","55.5%","905","52.9%"
"Shed Weakness","G","C","5823","36.8%","55.5%","1078","55.1%"
"Nimble-Blade Khenra","R","C","8241","48.3%","55.4%","1705","54.5%"
"Vizier of the Menagerie","G","M","1027","84.4%","55.4%","190",""
"Djeru's Resolve","W","C","3816","24.5%","55.4%","685","52.8%"
"Pull from Tomorrow","U","R","1948","75.4%","55.4%","321",""
"Fetid Pools","","R","1643","71.6%","55.4%","288",""
"Approach of the Second Sun","W","R","2167","69.6%","55.4%","369",""
"Gravedigger","B","U","6864","85.3%","55.4%","1299","55.0%"
"Quarry Hauler","G","C","8332","49.6%","55.4%","1644","53.7%"
"Throne of the God-Pharaoh","","R","756","60.3%","55.3%","112",""
"Bone Picker","B","U","5692","83.5%","55.3%","1097","54.2%"
"Lord of Extinction","BG","R","1312","65.6%","55.3%","214",""
"Naga Oracle","U","C","6539","36.0%","55.2%","1275","55.0%"
"Final Reward","B","C","16677","80.6%","55.2%","3478","53.0%"
"Shadowstorm Vizier","UB","U","3542","50.7%","55.2%","726","58.5%"
"Festering Mummy","B","C","8294","60.4%","55.2%","1703","55.8%"
"Hope Tender","G","U","5328","69.2%","55.2%","980","58.5%"
"Soul-Scar Mage","R","R","1446","72.8%","55.2%","243",""
"Ahn-Crop Champion","WG","U","3409","49.8%","55.2%","682","58.1%"
"Wayward Servant","WB","U","3641","60.2%","55.1%","767","59.8%"
