"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Kelpie Guide","U","U","92292","83.0%","54.0%","17998","54.1%"
"Quandrix Pledgemage","UG","C","208085","91.2%","54.0%","47774","54.7%"
"Vineglimmer Snarl","","R","17297","66.4%","54.0%","3334","56.9%"
"Rip Apart","WR","U","64356","72.8%","54.0%","13235","54.0%"
"Creative Outburst","UR","U","82073","75.3%","54.0%","15471","52.4%"
"Leyline Invocation","G","C","168027","74.0%","53.9%","33107","52.6%"
"Tenured Inkcaster","B","U","46890","66.0%","53.9%","8266","53.5%"
"Academic Dispute","R","U","95723","64.4%","53.9%","18442","52.4%"
"Mentor's Guidance","U","U","73659","68.1%","53.9%","13643","54.5%"
"Prismari Apprentice","UR","U","73549","72.5%","53.9%","15784","58.0%"
"Inkling Summoning","WB","C","10878","2.9%","53.9%","2138","52.1%"
"Growth Spiral","UG","R","15450","75.7%","53.8%","2698","54.9%"
"Kianne, Dean of Substance","G","R","33272","89.6%","53.8%","5997","53.1%"
"Elemental Masterpiece","UR","C","191073","71.5%","53.8%","40787","52.7%"
"Tezzeret's Gambit","U","R","22885","89.2%","53.8%","3985","52.5%"
"Rowan, Scholar of Sparks","R","M","16513","89.1%","53.8%","2881","54.3%"
"Maelstrom Muse","UR","U","82134","79.0%","53.7%","16696","55.1%"
"Defend the Campus","W","C","68980","36.1%","53.7%","11694","51.2%"
"Archmage Emeritus","U","R","36609","90.7%","53.7%","6153","54.2%"
"Make Your Mark","WR","C","68842","32.8%","53.7%","12502","53.8%"
"Practical Research","UR","U","80592","67.8%","53.7%","14191","52.6%"
"Prismari Pledgemage","UR","C","185292","72.6%","53.7%","48499","56.6%"
"Regrowth","G","R","16383","76.3%","53.7%","2675","50.3%"
"Serpentine Curve","U","C","215621","80.7%","53.7%","49822","49.7%"
"Stonebound Mentor","WR","C","71444","37.8%","53.7%","17182","54.6%"
"Beledros Witherbloom","BG","M","15432","85.1%","53.6%","2500","54.9%"
"Ingenious Mastery","U","R","31164","77.8%","53.6%","5170","51.7%"
"Reckless Amplimancer","G","C","115176","54.2%","53.6%","24378","53.3%"
"Urza's Rage","R","R","22400","89.2%","53.5%","3870","53.3%"
"Promising Duskmage","B","C","58262","33.9%","53.5%","11742","50.9%"
"Primal Command","G","M","8181","78.8%","53.4%","1295","54.1%"
"Reconstruct History","WR","U","33524","31.9%","53.4%","5630","49.7%"
"Torrent Sculptor","U","R","26199","80.6%","53.4%","4554","54.9%"
"Mascot Interception","R","U","10822","12.1%","53.4%","1817","51.1%"
"Blood Researcher","BG","C","103236","70.5%","53.3%","28098","53.8%"
"Strategic Planning","U","U","37576","40.4%","53.3%","6876","53.6%"
"Blex, Vexing Pest","G","M","9769","74.3%","53.3%","1696","53.4%"
"Plumb the Forbidden","B","U","35737","39.8%","53.3%","6226","50.2%"
"Approach of the Second Sun","W","M","12640","80.3%","53.3%","2020","52.6%"
"Zephyr Boots","","U","41913","49.6%","53.2%","7251","52.1%"
"Rootha, Mercurial Artist","UR","U","116814","83.0%","53.2%","23038","51.2%"
"Furycalm Snarl","","R","14758","58.2%","53.2%","2794","54.6%"
"Illustrious Historian","R","C","134730","61.6%","53.2%","32067","54.3%"
"Thrilling Discovery","WR","C","26214","12.5%","53.1%","5206","53.1%"
"Infuse with Vitality","BG","C","72326","42.0%","53.1%","13958","53.0%"
"Campus Guide","","C","142935","54.9%","53.1%","29397","54.2%"
"Dueling Coach","W","U","35640","58.4%","53.1%","6346","50.0%"
"Elemental Expressionist","UR","R","26899","78.3%","53.1%","4740","54.2%"
"Explosive Welcome","R","U","77399","64.7%","53.1%","12809","50.3%"
"Pigment Storm","R","C","165263","73.2%","53.0%","33842","51.3%"
"Dina, Soul Steeper","BG","U","51226","73.3%","53.0%","10318","51.9%"
"Natural Order","G","M","2667","34.6%","53.0%","440",""
"Enthusiastic Study","R","C","133215","52.0%","52.9%","27966","51.6%"
"Revitalize","W","U","7425","10.9%","52.9%","1297","51.0%"
