"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Coveted Falcon","U","R","32819","75.6%","52.6%","5644","50.3%"
"Benthic Criminologists","U","C","40094","16.9%","52.5%","6249","51.1%"
"Fae Flight","U","U","42513","46.4%","52.5%","6672","49.7%"
"Demand Answers","R","C","63824","28.0%","52.5%","10831","50.0%"
"Nightdrinker Moroii","B","U","57140","71.1%","52.5%","9816","51.4%"
"Drag the Canal","UB","R","23719","58.7%","52.4%","4074","53.0%"
"Worldsoul's Rage","RG","R","19100","52.1%","52.3%","3064","48.7%"
"Public Thoroughfare","","C","169554","67.7%","52.3%","30969","52.3%"
"Persuasive Interrogators","B","U","32069","37.9%","52.3%","4757","50.6%"
"Soul Search","WB","U","12966","15.6%","52.3%","2113","51.3%"
"Mistway Spy","U","U","65566","75.1%","52.2%","11574","52.2%"
"Doorkeeper Thrull","W","R","10287","35.9%","52.2%","1825","52.5%"
"Mystery Key","U","U","2905","39.4%","52.2%","480",""
"Suspicious Detonation","R","C","96640","44.1%","52.2%","14805","49.2%"
"Repeat Offender","B","C","95272","47.6%","52.1%","16763","51.6%"
"Case of the Shattered Pact","","U","39304","37.3%","52.1%","7315","51.9%"
"Shady Informant","BR","C","83987","36.6%","52.0%","14293","50.7%"
"Burden of Guilt","W","C","1239","17.3%","52.0%","186",""
"Macabre Reconstruction","B","C","86849","37.2%","52.0%","13408","48.2%"
"Niv-Mizzet, Guildpact","WUBRG","R","18498","44.1%","52.0%","2993","53.7%"
"Assemble the Players","W","R","18307","58.5%","51.9%","3310","47.6%"
"Presumed Dead","B","U","30477","38.2%","51.9%","4922","50.1%"
"Nyx Weaver","BG","U","4811","54.4%","51.9%","814","52.0%"
"Basilica Stalker","B","C","97374","48.8%","51.8%","16496","50.0%"
"Case of the Pilfered Proof","W","U","46059","54.3%","51.7%","8204","50.2%"
"Caught Red-Handed","R","U","8505","9.4%","51.7%","1167","48.8%"
"Forensic Gadgeteer","U","R","30267","75.3%","51.7%","5165","50.8%"
"Outrageous Robbery","B","R","27662","78.5%","51.7%","4413","48.5%"
