"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Gadwick's First Duel","U","U","49263","45.0%","51.2%","8650","47.8%"
"Savior of the Sleeping","W","C","69852","30.8%","51.2%","11939","50.2%"
"Agatha of the Vile Cauldron","RG","M","4320","24.2%","51.2%","722","49.4%"
"Toadstool Admirer","G","C","26893","11.0%","51.1%","4616","52.5%"
"Spider Food","G","C","16856","6.5%","51.0%","2673","48.6%"
"Dream Spoilers","B","U","35851","35.0%","50.9%","5943","47.6%"
"Dawn of Hope","W","R","8057","49.3%","50.9%","1335","45.8%"
"Ego Drain","B","U","15860","14.5%","50.8%","2573","48.5%"
"The Irencrag","","R","17103","43.9%","50.7%","3141","50.0%"
"Food Fight","R","R","2826","5.9%","50.7%","447",""
"Water Wings","U","C","23588","8.4%","50.7%","3683","49.4%"
"Lich-Knights' Conquest","B","R","15714","45.3%","50.7%","2368","44.8%"
"Korvold and the Noble Thief","R","U","17551","17.6%","50.6%","2899","48.9%"
"Moonshaker Cavalry","W","M","9880","58.0%","50.4%","1458","46.0%"
"Virtue of Strength","G","M","2947","19.2%","50.4%","441",""
"Knight of Doves","W","U","41464","45.2%","50.3%","6929","47.4%"
"A Tale for the Ages","W","R","15651","46.4%","50.2%","2520","48.9%"
"Oversold Cemetery","B","R","8330","49.7%","50.2%","1338","45.0%"
"Break the Spell","W","C","19262","7.4%","50.2%","2997","48.5%"
"Stroke of Midnight","W","U","47951","57.6%","50.2%","7672","46.2%"
"Ground Seal","G","U","2214","1.6%","50.1%","376",""
"Galvanic Giant","U","U","34528","32.2%","50.0%","5485","48.5%"
"Beseech the Mirror","B","M","3731","24.1%","50.0%","546","45.4%"
"Chancellor of Tales","U","U","38913","41.2%","49.9%","6337","49.0%"
"Hylda of the Icy Crown","WU","M","11219","56.7%","49.7%","1911","51.2%"
"Kindred Discovery","U","M","1082","14.0%","49.4%","170",""
"Plunge into Winter","W","C","20806","8.3%","49.3%","3514","46.3%"
"Asinine Antics","U","M","10306","60.4%","49.0%","1671","44.9%"
"Soul-Guide Lantern","","U","1366","1.2%","49.0%","210",""
"Succumb to the Cold","U","U","21124","21.7%","48.9%","3441","44.8%"
"Repercussion","R","M","809","10.1%","48.7%","125",""
"Eerie Interference","W","U","2767","2.6%","48.5%","412",""
"Freeze in Place","U","C","32873","14.3%","48.1%","5611","43.9%"
"Solitary Sanctuary","W","U","21950","25.8%","48.0%","3720","43.4%"
"Sanguine Bond","B","R","1246","7.4%","47.9%","206",""
"Aggravated Assault","R","R","794","4.8%","47.9%","112",""
"Intangible Virtue","W","U","7661","6.8%","47.8%","1267","41.8%"
"Forced Fruition","U","R","4299","20.4%","47.3%","701","40.7%"
"Will, Scion of Peace","WU","M","2301","14.3%","47.2%","409",""
"Parallel Lives","G","M","1611","22.5%","47.1%","277",""
"As Foretold","U","R","1265","8.1%","46.8%","216",""
"Phyrexian Unlife","W","R","566","3.6%","46.6%","91",""
"Doubling Season","G","M","1277","19.0%","46.5%","199",""
"Leyline of Lightning","R","R","668","3.8%","46.1%","1",""
"Rhystic Study","U","M","1809","33.0%","46.1%","321",""
"Virtue of Knowledge","U","M","1694","11.3%","46.0%","249",""
"Smothering Tithe","W","M","746","13.1%","45.2%","125",""
"Leyline of Abundance","G","R","580","3.4%","45.2%","1",""
"Primal Vigor","G","R","1386","9.1%","45.2%","209",""
"Copy Enchantment","U","R","1226","7.1%","44.9%","179",""
"Leyline of Anticipation","U","R","1019","5.8%","43.8%","0",""
"Prismatic Omen","G","R","1599","9.0%","43.7%","286",""
"Compulsion","U","U","1773","1.4%","43.3%","300",""
"Polluted Bonds","B","R","559","3.9%","43.3%","83",""
"Greater Auramancy","W","M","732","12.2%","41.7%","111",""
"Waste Not","B","R","547","3.4%","41.1%","95",""
"Oppression","B","R","568","3.5%","39.3%","95",""
"Hardened Scales","G","R","641","4.0%","38.5%","111",""
"Karmic Justice","W","R","308","2.0%","","47",""
"Leyline of Sanctity","W","R","141","0.8%","","0",""
"Rest in Peace","W","R","25","0.1%","","4",""
"Fraying Sanity","U","R","460","2.5%","","82",""
"Intruder Alarm","U","R","134","0.7%","","24",""
"Omniscience","U","M","42","0.5%","","14",""
"Leyline of the Void","B","R","99","0.5%","","1",""
"Blood Moon","R","M","25","0.3%","","3",""
"Mana Flare","R","R","154","0.7%","","23",""
"Sneak Attack","R","M","151","1.7%","","18",""
"Nature's Will","G","R","478","3.1%","","60",""
