"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Melira, the Living Cure","WG","R","15077","50.1%","54.4%","2628","58.0%"
"Vraska, Betrayal's Sting","B","M","16770","88.1%","54.4%","2734","56.4%"
"Molten Rebuke","R","C","108681","35.4%","54.3%","15980","52.2%"
"Viral Spawning","G","U","83403","78.9%","54.3%","14568","54.4%"
"The Seedcore","","R","25733","81.2%","54.3%","4687","55.0%"
"Mondrak, Glory Dominus","W","M","15498","85.3%","54.3%","2685","54.6%"
"Goldwarden's Helm","W","C","140671","45.6%","54.3%","23924","52.2%"
"Churning Reservoir","R","U","82330","68.3%","54.2%","14100","52.9%"
"Surgical Skullbomb","","C","185570","57.1%","54.2%","32723","53.2%"
"Glissa Sunslayer","BG","R","30901","81.3%","54.1%","5435","59.9%"
"The Monumental Facade","","R","18317","56.9%","54.1%","3019","53.8%"
"Forgehammer Centurion","R","C","100542","34.2%","54.1%","16869","53.4%"
"Against All Odds","W","U","48329","47.9%","54.1%","7285","51.8%"
"Dune Mover","","C","274164","82.8%","54.0%","52802","54.5%"
"Leonin Lightbringer","W","C","90913","35.6%","54.0%","15430","53.0%"
"Eye of Malcator","U","C","143045","44.1%","53.9%","24523","54.4%"
"Basilica Skullbomb","","C","116240","40.5%","53.9%","19948","50.1%"
"Malcator's Watcher","U","C","190834","68.5%","53.9%","34235","55.4%"
"Blightbelly Rat","B","C","213892","87.9%","53.9%","38988","55.4%"
"Branchblight Stalker","G","C","192438","75.0%","53.9%","35061","54.6%"
"Kaya, Intangible Slayer","WB","R","21692","67.1%","53.9%","3252","54.6%"
"Testament Bearer","B","C","92181","34.5%","53.9%","14966","54.3%"
"Gleeful Demolition","R","U","15902","14.7%","53.9%","2477","52.0%"
"Kaito, Dancing Shadow","UB","R","28041","76.2%","53.8%","4723","57.2%"
"Whisper of the Dross","B","C","169414","65.7%","53.8%","28753","53.2%"
"The Filigree Sylex","","R","22507","73.3%","53.8%","3955","54.2%"
"Gitaxian Raptor","U","C","188745","62.6%","53.6%","32579","54.6%"
"Tamiyo's Immobilizer","U","U","97511","72.7%","53.6%","15937","52.8%"
"Furnace Skullbomb","","C","92129","29.3%","53.5%","16116","49.6%"
"Sheoldred's Edict","B","U","44709","73.7%","53.4%","7782","54.9%"
"Venomous Brutalizer","G","U","66076","81.6%","53.4%","10634","53.4%"
"Venerated Rotpriest","G","R","21685","73.6%","53.4%","4051","59.4%"
"Vraan, Executioner Thane","B","R","22547","77.1%","53.4%","4070","54.0%"
"The Dross Pits","","C","141935","61.4%","53.4%","24504","53.6%"
"Nimraiser Paladin","B","U","73090","80.2%","53.4%","11296","51.9%"
"Black Sun's Twilight","B","R","30521","85.2%","53.2%","4934","53.0%"
"Pestilent Syphoner","B","C","179450","84.5%","53.1%","32772","54.0%"
"Seachrome Coast","","R","10569","36.6%","53.1%","1976","54.1%"
"Maze Skullbomb","","C","66996","25.0%","53.0%","11601","48.8%"
"Annihilating Glare","B","C","167597","73.3%","53.0%","26355","51.1%"
"The Mycosynth Gardens","","R","21375","68.0%","53.0%","3735","52.6%"
"Orthodoxy Enforcer","W","C","82413","32.5%","53.0%","13099","50.9%"
"Skyscythe Engulfer","G","C","55825","23.5%","53.0%","8101","51.6%"
"Vraska's Fall","B","C","93834","56.0%","52.9%","15656","53.1%"
"Nahiri, the Unforgiving","WR","M","8055","55.0%","52.9%","1346","49.0%"
"Tyrranax Atrocity","G","C","113486","56.7%","52.9%","17337","53.1%"
"Serum Snare","U","U","71008","73.1%","52.9%","11904","51.9%"
"Venser, Corpse Puppet","UB","R","18283","61.6%","52.8%","3189","58.8%"
"Sheoldred's Headcleaver","B","C","117189","59.8%","52.8%","18751","52.5%"
"Infested Fleshcutter","W","U","48134","66.1%","52.8%","7934","50.3%"
"Transplant Theorist","U","U","41771","41.8%","52.8%","6876","52.2%"
"Magmatic Sprinter","R","U","56177","59.3%","52.7%","9326","49.3%"
"Razorverge Thicket","","R","11647","41.3%","52.7%","2092","55.2%"
"Mesmerizing Dose","U","C","206179","79.0%","52.7%","33587","51.2%"
"Karumonix, the Rat King","B","R","17664","63.2%","52.6%","2972","52.0%"
"Offer Immortality","B","C","89645","41.3%","52.6%","13726","52.3%"
"Thrill of Possibility","R","C","43333","15.1%","52.6%","7317","49.5%"
"Experimental Augury","U","C","164147","63.3%","52.6%","28430","51.0%"
"Blade of Shared Souls","U","R","21994","66.3%","52.6%","3718","52.0%"
"Escaped Experiment","U","C","97404","35.6%","52.5%","17104","51.9%"
"The Surgical Bay","","C","134339","52.7%","52.5%","23737","52.8%"
"Maze's Mantle","G","C","51225","22.4%","52.5%","7899","50.9%"
"Tekuthal, Inquiry Dominus","U","M","12930","78.1%","52.5%","2153","54.8%"
"Blackcleave Cliffs","","R","8885","29.9%","52.4%","1690","54.3%"
"Chittering Skitterling","B","U","58430","60.9%","52.4%","9649","49.2%"
"Infectious Inquiry","B","C","105028","53.6%","52.3%","17825","50.4%"
"Cruel Grimnarch","B","C","41864","18.8%","52.3%","5923","51.8%"
"Atraxa, Grand Unifier","WUBG","M","7265","48.8%","52.3%","1159","58.3%"
"Veil of Assimilation","W","U","29580","32.6%","52.2%","4802","48.3%"
"Vivisurgeon's Insight","U","C","69948","29.6%","52.2%","10777","50.9%"
"Vanish into Eternity","W","C","70921","34.1%","52.2%","10701","49.1%"
"Adaptive Sporesinger","G","C","93796","42.1%","52.1%","15591","49.3%"
"Gulping Scraptrap","B","C","112919","52.3%","52.1%","17273","50.7%"
"Bonepicker Skirge","B","C","113656","58.6%","52.1%","19186","49.7%"
"Apostle of Invasion","W","U","30278","45.1%","52.1%","4247","50.0%"
"Copper Longlegs","G","C","90165","37.3%","52.0%","15961","49.8%"
"Kethek, Crucible Goliath","BR","R","6034","19.9%","52.0%","1064","49.9%"
"Voidwing Hybrid","UB","U","52260","60.3%","52.0%","9091","57.4%"
"Mercurial Spelldancer","U","R","25668","76.5%","52.0%","4583","53.8%"
"Plague Nurse","G","C","88355","46.6%","51.9%","14056","50.6%"
"Jin-Gitaxias, Progress Tyrant","U","M","6269","72.6%","51.9%","939","50.5%"
"Feed the Infection","B","U","19529","26.2%","51.9%","3086","50.6%"
"Green Sun's Twilight","G","R","15484","61.5%","51.9%","2542","49.0%"
"Serum-Core Chimera","UR","U","62616","54.0%","51.9%","10212","52.5%"
"Norn's Wellspring","W","R","9628","40.6%","51.9%","1616","48.5%"
"Ichorspit Basilisk","G","C","128250","61.5%","51.9%","22108","50.2%"
"Trawler Drake","U","U","75182","75.8%","51.8%","12990","53.1%"
"Fleshless Gladiator","B","C","79219","36.8%","51.8%","14072","50.4%"
"Glistener Seer","U","C","103441","37.5%","51.8%","18517","51.6%"
"Carnivorous Canopy","G","C","59249","26.5%","51.8%","9016","49.6%"
"Bring the Ending","U","C","84116","35.8%","51.6%","14445","53.0%"
"Ichor Synthesizer","U","C","159817","59.0%","51.6%","28565","52.5%"
"Awaken the Sleeper","R","U","10429","10.7%","51.6%","1537","48.3%"
"All Will Be One","R","M","9217","57.3%","51.6%","1459","49.3%"
"Dross Skullbomb","","C","79720","32.6%","51.6%","13709","47.6%"
"Unnatural Restoration","G","U","36690","45.2%","51.6%","5584","48.4%"
"Necrogen Rotpriest","BG","U","52457","67.7%","51.6%","8788","53.4%"
"Prosthetic Injector","","U","54075","63.6%","51.6%","9248","50.6%"
"Ravenous Necrotitan","B","U","46248","66.5%","51.5%","7038","50.0%"
"Cutthroat Centurion","B","C","31807","13.9%","51.5%","5329","49.3%"
"Prophetic Prism","","C","129555","45.6%","51.4%","23819","50.9%"
"Red Sun's Twilight","R","R","6298","19.3%","51.4%","944","48.8%"
"Necrogen Communion","B","U","30110","48.1%","51.4%","4820","50.9%"
"Scheming Aspirant","B","U","48302","62.1%","51.4%","8516","51.0%"
"Distorted Curiosity","U","U","37952","45.9%","51.4%","6389","49.3%"
"Conduit of Worlds","G","R","13536","49.7%","51.4%","2132","47.1%"
"Meldweb Strider","U","C","50806","19.4%","51.4%","7675","49.8%"
"Thirsting Roots","G","C","80511","36.6%","51.3%","14099","49.1%"
"Atmosphere Surgeon","U","U","49851","53.0%","51.1%","8632","50.6%"
"Necrosquito","B","U","42710","60.9%","51.0%","6964","50.4%"
"Nahiri's Sacrifice","R","U","15758","15.1%","51.0%","2392","45.7%"
"Darkslick Shores","","R","9941","39.2%","50.9%","1862","54.1%"
"Drivnod, Carnage Dominus","B","M","9676","70.7%","50.8%","1492","49.4%"
"Quicksilver Fisher","U","C","53017","23.4%","50.8%","8196","49.4%"
"Ovika, Enigma Goliath","UR","R","19276","56.3%","50.8%","2851","50.3%"
