"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Halo Hopper","","C","2960","17.4%","54.9%","498",""
"Cut Short","W","C","8343","70.5%","54.9%","1281","55.9%"
"Khenra Spellspear","R","U","10412","85.3%","54.9%","1932","57.7%"
"Sram, Senior Edificer","W","R","647","41.8%","54.9%","110",""
"Phyrexian Gargantua","B","U","8926","70.3%","54.9%","1373","51.9%"
"Juri, Master of the Revue","BR","U","4022","47.4%","54.8%","691","50.8%"
"Phyrexian Awakening","W","U","6334","69.0%","54.8%","1093","54.1%"
"Consuming Aetherborn","B","C","3970","27.4%","54.8%","659","54.9%"
"Sunder the Gateway","W","C","5792","45.7%","54.8%","960","52.8%"
"Invasion of Belenon","W","U","3553","65.8%","54.8%","625","52.8%"
"Timberland Ancient","G","C","10280","68.8%","54.8%","1764","54.5%"
"Surge of Salvation","W","U","1958","26.0%","54.7%","296",""
"Thunderhead Squadron","U","C","5562","33.2%","54.7%","800","52.8%"
"Aegar, the Freezing Flame","UR","U","2511","30.8%","54.7%","404",""
"Bloodfell Caves","","C","9088","60.9%","54.7%","1704","58.1%"
"Invasion of Zendikar","G","U","8284","84.2%","54.7%","1499","56.9%"
"Rebuild the City","BRG","R","2050","47.2%","54.7%","294",""
"Etched Familiar","B","C","7389","48.6%","54.7%","1270","53.9%"
"Alabaster Host Sanctifier","W","C","7666","61.6%","54.6%","1329","57.8%"
"Gift of Compleation","B","U","8943","75.9%","54.6%","1629","55.6%"
"Invasion of Lorwyn","BG","U","7052","69.7%","54.6%","1115","51.1%"
"Tribute to the World Tree","G","R","1618","70.8%","54.6%","253",""
"Hangar Scrounger","R","C","7504","48.5%","54.6%","1265","56.3%"
"Serpent-Blade Assailant","G","C","7789","66.9%","54.6%","1404","55.9%"
"Flywheel Racer","","C","8229","37.8%","54.6%","1458","57.6%"
"Stasis Field","U","C","8835","54.4%","54.5%","1440","52.8%"
"Storm the Seedcore","G","U","4205","50.7%","54.5%","645","56.1%"
"Sun-Blessed Guardian","W","U","4836","64.4%","54.5%","838","51.1%"
"Teysa Karlov","WB","R","560","39.2%","54.5%","94",""
"Moment of Truth","U","C","3520","20.2%","54.5%","558","56.3%"
"City on Fire","R","R","1664","58.0%","54.4%","239",""
"Deeproot Wayfinder","G","R","2426","86.5%","54.4%","448",""
"Inga and Esika","UG","R","2678","74.9%","54.4%","417",""
