"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Seismic Monstrosaur","R","C","160184","59.9%","54.3%","26587","51.6%"
"Dauntless Dismantler","W","U","57710","48.4%","54.3%","10061","53.8%"
"Eaten by Piranhas","U","U","87017","71.7%","54.3%","14535","53.1%"
"Oteclan Landmark","W","C","111586","37.0%","54.2%","19789","51.8%"
"Digsite Conservator","","U","92339","69.2%","54.2%","16605","52.6%"
"Defossilize","B","U","94467","75.4%","54.2%","15028","55.2%"
"Goldfury Strider","R","U","50318","41.1%","54.1%","7807","51.3%"
"Bitter Triumph","B","U","96269","86.6%","54.1%","16443","54.2%"
"Might of the Ancestors","W","U","34365","35.3%","54.1%","5550","52.1%"
"In the Presence of Ages","G","C","41474","15.9%","54.0%","7035","53.4%"
"Mischievous Pup","W","U","85238","68.7%","54.0%","14235","50.9%"
"Council of Echoes","U","U","68973","55.7%","54.0%","10402","51.8%"
"Coati Scavenger","G","U","72467","67.5%","54.0%","11818","50.2%"
"Bringer of the Last Gift","B","R","27381","73.2%","54.0%","4274","56.3%"
"Ojer Taq, Deepest Foundation","W","M","14395","78.9%","53.9%","2390","54.2%"
"Stalactite Stalker","B","R","28768","82.7%","53.9%","5168","58.6%"
"Helping Hand","W","U","35639","33.4%","53.9%","5532","51.8%"
"Deathcap Marionette","B","C","242438","77.7%","53.9%","43065","55.0%"
"Souls of the Lost","B","R","27729","81.5%","53.9%","4776","52.8%"
"Cartographer's Companion","","C","175237","49.9%","53.8%","30309","51.3%"
"Another Chance","B","C","210403","62.3%","53.8%","34050","51.8%"
"Dead Weight","B","C","261946","81.2%","53.8%","45859","54.2%"
"Hidden Necropolis","","C","204918","78.1%","53.8%","36317","55.4%"
"Echo of Dusk","B","C","208074","72.7%","53.8%","36293","53.4%"
"Thousand Moons Crackshot","W","C","68463","23.6%","53.8%","11917","52.6%"
"Cosmium Blast","W","C","146145","57.8%","53.7%","24543","52.9%"
"Mineshaft Spider","G","C","115727","40.1%","53.7%","19010","52.9%"
"Daring Discovery","R","C","33840","11.8%","53.7%","4876","52.1%"
"Envoy of Okinec Ahau","W","C","104350","39.5%","53.6%","17594","52.2%"
"Corpses of the Lost","B","R","33167","80.6%","53.6%","5846","56.7%"
"Restless Reef","","R","21617","55.2%","53.6%","3985","58.2%"
"Malamet Brawler","G","C","91184","34.5%","53.6%","16088","52.7%"
"Join the Dead","B","C","245870","87.1%","53.6%","41011","53.0%"
"Confounding Riddle","U","U","67843","52.6%","53.6%","11291","52.4%"
"Akawalli, the Seething Tower","BG","U","58476","58.9%","53.4%","9897","53.2%"
"Sunken Citadel","","R","28414","80.9%","53.4%","5175","54.0%"
"Skullcap Snail","B","C","210020","72.3%","53.4%","36713","54.4%"
"Fanatical Offering","B","C","134480","50.5%","53.4%","22121","53.3%"
"Visage of Dread","B","U","98965","73.0%","53.4%","17480","55.8%"
"Rampaging Spiketail","B","C","172650","65.4%","53.3%","29316","51.9%"
"Bloodletter of Aclazotz","B","M","12785","77.1%","53.3%","2152","53.4%"
"Brazen Blademaster","R","C","130540","43.2%","53.3%","21842","50.8%"
"Glorifier of Suffering","W","C","164747","57.2%","53.3%","26983","50.9%"
