"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Kenrith's Transformation","G","U","5092","61.9%","55.6%","833","54.1%"
"Foulmire Knight","B","U","7823","83.8%","55.6%","1375","56.7%"
"Castle Ardenvale","","R","2702","73.2%","55.5%","487",""
"Wandermare","WG","U","4001","45.6%","55.5%","656","55.0%"
"Keeper of Fables","G","U","8122","85.5%","55.5%","1394","55.2%"
"Idyllic Grange","","C","11382","47.3%","55.4%","2027","54.9%"
"Outlaws' Merriment","WR","M","1445","69.0%","55.4%","272",""
"Mysterious Pathlighter","W","U","7972","77.8%","55.4%","1388","56.7%"
"The Royal Scions","UR","M","1586","65.5%","55.4%","296",""
"Reave Soul","B","C","23365","83.0%","55.3%","4080","55.0%"
"Crashing Drawbridge","","C","7801","31.9%","55.3%","1425","55.3%"
"Order of Midnight","B","U","8275","81.4%","55.2%","1412","55.4%"
"Silverflame Squire","W","C","20080","72.2%","55.2%","3515","52.9%"
"Merchant of the Vale","R","C","17839","63.0%","55.1%","3262","54.2%"
"Brimstone Trebuchet","R","C","14831","58.8%","55.1%","2438","54.6%"
"Bloodhaze Wolverine","R","C","12860","44.4%","55.1%","2301","53.6%"
"True Love's Kiss","W","C","3187","14.3%","55.0%","537","49.5%"
"Frogify","U","U","5121","62.5%","55.0%","881","53.2%"
"Outflank","W","C","12796","55.0%","55.0%","2121","51.9%"
"Garenbrig Squire","G","C","11629","45.0%","55.0%","2105","55.0%"
"Witch's Vengeance","B","R","2779","73.3%","54.9%","479",""
"Syr Alin, the Lion's Claw","W","U","6790","80.5%","54.9%","1087","53.8%"
"Castle Locthwain","","R","2666","74.0%","54.9%","464",""
"Burning-Yard Trainer","R","U","5353","66.2%","54.8%","854","56.8%"
"Revenge of Ravens","B","U","9924","81.7%","54.8%","1711","54.5%"
"Glass Casket","W","U","7626","80.7%","54.8%","1378","55.1%"
"Weapon Rack","","C","2398","10.9%","54.8%","406",""
"Belle of the Brawl","B","U","6358","77.9%","54.7%","1122","57.3%"
"Blow Your House Down","R","C","3025","12.4%","54.7%","437",""
"Sage of the Falls","U","U","6626","57.4%","54.7%","1112","52.8%"
"Hushbringer","W","R","1564","51.9%","54.7%","277",""
"Silverflame Ritual","W","C","8500","38.5%","54.7%","1385","50.1%"
"Malevolent Noble","B","C","12624","50.6%","54.7%","2263","53.9%"
"Smitten Swordmaster","B","C","19559","79.5%","54.7%","3527","56.1%"
"Return to Nature","G","C","3177","15.1%","54.5%","499",""
"Lonesome Unicorn","W","C","15222","65.3%","54.5%","2586","54.3%"
"Mad Ratter","R","U","6342","55.5%","54.5%","1062","53.4%"
"Lucky Clover","","U","6033","57.3%","54.5%","1065","51.5%"
"Reaper of Night","B","C","16295","63.2%","54.5%","2682","54.1%"
"Syr Carah, the Bold","R","U","7507","76.5%","54.4%","1228","53.2%"
"Charming Prince","W","R","2620","72.8%","54.4%","461",""
"Fabled Passage","","R","3583","94.1%","54.3%","615","54.1%"
"Claim the Firstborn","R","U","1757","22.5%","54.3%","284",""
"Tempting Witch","B","C","14630","61.9%","54.2%","2525","53.3%"
"Sporecap Spider","G","C","5579","25.5%","54.2%","982","48.6%"
"Vantress Paladin","U","C","15522","51.5%","54.2%","2587","52.2%"
"Oathsworn Knight","B","R","2381","75.9%","54.2%","426",""
"Wicked Guardian","B","C","11743","48.7%","54.1%","1919","53.3%"
"Spinning Wheel","","U","6281","61.6%","54.0%","1101","55.7%"
"Crystal Slipper","R","C","3070","12.3%","53.9%","512","48.0%"
"Queen of Ice","U","C","16706","61.6%","53.8%","2900","48.9%"
"Skullknocker Ogre","R","U","1343","15.8%","53.8%","218",""
"Faeburrow Elder","WG","R","1007","30.2%","53.8%","173",""
"Rankle, Master of Pranks","B","M","1682","79.4%","53.7%","295",""
"Rally for the Throne","W","U","3853","46.2%","53.6%","574","51.2%"
