"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Doomskar","W","R","14239","95.2%","53.6%","2424","52.2%"
"Boreal Outrider","G","U","48808","98.3%","53.6%","9400","53.6%"
"Icebind Pillar","U","U","61222","97.4%","53.6%","11754","51.6%"
"Moritte of the Frost","UG","U","44898","96.2%","53.6%","7777","51.7%"
"Koma's Faithful","B","C","64413","87.0%","53.6%","14066","53.4%"
"Snow-Covered Island","","B","79882","100.0%","53.6%","15652","54.8%"
"Deathknell Berserker","B","C","71900","91.1%","53.5%","17641","54.4%"
"Great Hall of Starnheim","","U","25428","85.4%","53.5%","5259","54.6%"
"Hagi Mob","R","C","55315","78.0%","53.5%","9573","52.8%"
"Cosmos Charger","U","R","16758","98.4%","53.5%","2960","54.4%"
"Bloodsky Berserker","B","U","31393","95.5%","53.4%","6580","56.1%"
"Graven Lore","U","R","16121","96.3%","53.4%","2630","52.4%"
"Draugr Necromancer","B","R","19929","98.7%","53.3%","3420","56.2%"
"Return Upon the Tide","B","U","21196","84.0%","53.3%","3687","51.5%"
"Draugr's Helm","B","U","41715","94.8%","53.3%","7220","53.0%"
"Jorn, God of Winter","G","R","16719","98.6%","53.3%","2972","53.9%"
"Shackles of Treachery","R","C","9356","32.3%","53.3%","1524","50.8%"
"Blessing of Frost","G","R","14391","95.9%","53.3%","2364","51.3%"
"Rune of Flight","U","U","35306","91.9%","53.3%","5988","49.9%"
"Feed the Serpent","B","C","91115","97.4%","53.3%","18601","52.6%"
"Snow-Covered Swamp","","B","83804","95.7%","53.3%","15538","54.3%"
"Rune of Mortality","B","U","35656","93.5%","53.2%","6151","50.5%"
"Arachnoform","G","C","9423","34.5%","53.2%","1913","52.6%"
"Glittering Frost","G","C","109326","94.6%","53.2%","23286","52.1%"
"Elderfang Disciple","B","C","81581","94.7%","53.2%","19530","53.9%"
"Glacial Floodplain","","C","60111","97.1%","53.1%","11205","54.5%"
"Augury Raven","U","C","96939","96.4%","53.1%","22391","53.1%"
"Village Rites","B","C","37160","75.8%","53.1%","6672","51.8%"
"Vengeful Reaper","B","U","33714","97.2%","53.1%","6800","53.3%"
"Snow-Covered Swamp","","B","61917","100.0%","53.0%","11943","53.5%"
"Raise the Draugr","B","C","71632","88.4%","53.0%","12078","50.0%"
"Snowfield Sinkhole","","C","53176","97.1%","53.0%","9848","54.2%"
"Cosima, God of the Voyage","U","R","18157","98.1%","52.9%","3160","55.6%"
"Varragoth, Bloodsky Sire","B","R","14447","97.2%","52.9%","2532","53.3%"
"Bind the Monster","U","C","71731","89.1%","52.9%","13805","52.6%"
"Ice Tunnel","","C","66575","97.7%","52.9%","12676","54.2%"
"Niko Aris","WU","M","6097","93.8%","52.9%","957","54.3%"
"Littjara Glade-Warden","G","U","36653","95.0%","52.9%","6393","49.4%"
"Depart the Realm","U","C","59321","83.7%","52.8%","11389","50.1%"
"Firja, Judge of Valor","WB","U","26783","91.4%","52.7%","5063","54.4%"
"Demonic Gifts","B","C","31166","70.6%","52.7%","5497","51.1%"
"Giant Ox","W","C","19500","50.6%","52.7%","5028","54.5%"
"Gates of Istfell","","U","23727","80.8%","52.7%","4455","51.5%"
"Iron Verdict","W","C","58174","85.9%","52.6%","12279","51.0%"
"Duskwielder","B","C","22197","65.5%","52.6%","4826","54.1%"
"Ascendant Spirit","U","R","10487","95.7%","52.5%","1749","53.1%"
"Karfell Harbinger","U","C","53744","78.1%","52.5%","11049","51.0%"
"Tergrid, God of Fright","B","R","17412","98.5%","52.5%","2951","51.8%"
"Weigh Down","B","C","62538","86.9%","52.4%","11220","49.3%"
"Littjara Kinseekers","U","C","83688","90.7%","52.4%","17583","49.7%"
"Kardur's Vicious Return","BR","U","21603","83.4%","52.4%","3973","52.1%"
"Saw It Coming","U","U","33524","94.1%","52.4%","6219","52.2%"
"Cosmos Elixir","","R","18206","98.5%","52.3%","3161","51.0%"
"Scorn Effigy","","C","35036","68.1%","52.3%","7360","51.6%"
"Maskwood Nexus","","R","15369","97.8%","52.3%","2549","47.9%"
"Hengegate Pathway","","R","7097","83.6%","52.2%","1237","51.5%"
"Vault Robber","R","C","20342","53.0%","52.2%","3766","49.7%"
"Karfell Kennel-Master","B","C","51226","82.5%","52.2%","8841","50.4%"
"Mists of Littjara","U","C","27541","59.2%","52.2%","5285","49.8%"
"Kolvori, God of Kinship","G","R","6527","84.0%","52.1%","1140","49.2%"
"Replicating Ring","","U","41532","96.7%","52.1%","8053","52.9%"
"Narfi, Betrayer King","UB","U","41470","95.2%","52.1%","7541","51.5%"
"Pilfering Hawk","U","C","67859","88.8%","52.1%","13684","50.6%"
"Priest of the Haunted Edge","B","C","68773","89.4%","52.0%","17374","52.2%"
"Gods' Hall Guardian","W","C","36007","68.6%","51.9%","7206","49.6%"
"Frost Augur","U","U","24290","88.9%","51.9%","4589","53.9%"
"Esika, God of the Tree","G","M","7131","97.3%","51.8%","1218","50.5%"
"The Trickster-God's Heist","UB","U","18960","79.2%","51.8%","3326","49.9%"
"The Three Seasons","UG","U","17882","75.1%","51.6%","3256","49.3%"
"Roots of Wisdom","G","C","5408","20.9%","51.6%","1013","46.8%"
"Port of Karfell","","U","28945","85.0%","51.6%","5487","50.8%"
"Vega, the Watcher","WU","U","21111","84.0%","51.5%","4365","52.7%"
"Brinebarrow Intruder","U","C","18219","51.1%","51.5%","3348","51.8%"
"Reckless Crew","R","R","1241","29.5%","51.5%","201",""
"Orvar, the All-Form","U","M","6463","94.3%","51.4%","1107","50.3%"
"The Raven's Warning","WU","R","7274","83.4%","51.4%","615","48.8%"
"Jarl of the Forsaken","B","C","61533","87.1%","51.3%","12863","49.6%"
"Search for Glory","W","R","2728","59.1%","51.2%","473",""
"Egon, God of Death","B","R","10002","94.3%","51.2%","1664","49.1%"
"Strategic Planning","U","C","14555","46.8%","51.2%","2770","48.8%"
"Haunting Voyage","B","M","4895","93.9%","51.1%","780","49.4%"
"Draugr Thought-Thief","U","C","38109","72.0%","51.0%","7631","50.4%"
"Rise of the Dread Marn","B","R","9822","92.2%","50.9%","1626","46.1%"
"Reflections of Littjara","U","R","8091","86.5%","50.8%","1289","49.7%"
"Infernal Pet","B","C","31866","75.6%","50.7%","7335","50.0%"
"Faceless Haven","","R","8360","92.5%","50.6%","1400","49.6%"
"Undersea Invader","U","C","25627","61.3%","50.5%","4130","47.9%"
"Skull Raid","B","C","44266","78.5%","50.4%","8872","47.8%"
"Withercrown","B","C","25238","72.1%","50.2%","5070","49.4%"
"Grim Draugr","B","C","40668","80.4%","50.1%","8517","48.9%"
"Dread Rider","B","C","19498","56.6%","50.0%","2935","46.5%"
"Pyre of Heroes","","R","541","19.9%","49.7%","98",""
"Icebreaker Kraken","U","R","7114","87.2%","49.7%","1074","45.8%"
"Invoke the Divine","W","C","4475","19.9%","49.7%","658","45.6%"
"Tergrid's Shadow","B","U","24304","86.3%","49.7%","4523","46.0%"
"Ravenform","U","C","29270","71.1%","49.6%","5387","45.9%"
"Ascent of the Worthy","WB","U","6003","50.9%","49.6%","929","45.2%"
"King Narfi's Betrayal","UB","R","11415","90.4%","49.6%","1825","44.7%"
"Frostpeak Yeti","U","C","39177","76.0%","49.5%","7434","47.3%"
"Draugr Recruiter","B","C","34011","74.0%","49.5%","5967","46.0%"
"In Search of Greatness","G","R","4548","81.0%","49.4%","797","49.8%"
"Hailstorm Valkyrie","B","U","17635","87.5%","49.2%","3137","46.4%"
"Revitalize","W","C","3481","17.6%","49.2%","713","49.6%"
"Dream Devourer","B","R","7588","92.3%","49.0%","1363","48.6%"
"Dual Strike","R","U","3887","35.4%","48.8%","679","42.4%"
"Niko Defies Destiny","WU","U","7276","51.8%","47.4%","1324","40.4%"
"Dogged Pursuit","B","C","7385","36.6%","45.9%","1465","42.0%"
"Smashing Success","R","C","1363","6.6%","45.6%","252",""
"Mystic Reflection","U","R","2759","62.2%","44.9%","422",""
"Open the Omenpaths","R","C","1307","6.3%","43.8%","212",""
"Annul","U","C","662","3.6%","39.6%","97",""
"Tibalt's Trickery","R","R","274","8.9%","","42",""
"Weathered Runestone","","U","55","0.7%","","12",""
