"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Canal Monitor","B","C","420","3.3%","","60",""
"Dark Inquiry","B","C","367","3.4%","","55",""
"Dead Man's Chest","B","R","337","33.8%","","46",""
"Mastermind's Acquisition","B","R","125","11.4%","","19",""
"Blood Sun","R","R","1","0.1%","","0",""
"Brass's Bounty","R","R","23","1.5%","","4",""
"Shatter","R","C","19","0.2%","","2",""
"Naturalize","G","C","132","1.6%","","22",""
"Plummet","G","C","341","4.0%","","53",""
"Polyraptor","G","M","387","66.7%","","56",""
"World Shaper","G","R","374","31.0%","","70",""
"Huatli, Radiant Champion","WG","M","436","67.9%","","71",""
"Path of Mettle","WR","R","215","19.7%","","35",""
"Storm the Vault","UR","R","91","8.7%","","21",""
"Awakened Amalgam","","R","40","2.8%","","7",""
"Azor's Gateway","","M","241","41.5%","","43",""
"Silent Gravestone","","R","16","1.2%","","1",""
