"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Hotshot Mechanic","W","U","41800","44.1%","54.3%","7341","57.2%"
"Kodama of the West Tree","G","M","19177","83.9%","54.3%","3449","58.5%"
"Swiftwater Cliffs","","C","62721","41.8%","54.2%","11440","55.6%"
"Grafted Growth","G","C","172280","49.7%","54.2%","29880","53.8%"
"Go-Shintai of Boundless Vigor","G","U","104011","86.4%","54.2%","18824","55.0%"
"Wanderer's Intervention","W","C","157639","70.0%","54.1%","26904","53.3%"
"Historian's Wisdom","G","U","37794","33.1%","54.1%","6205","52.6%"
"Mothrider Patrol","W","C","149220","56.4%","54.1%","26337","55.1%"
"Armguard Familiar","U","C","172228","55.7%","54.1%","30110","52.7%"
"Network Terminal","","C","198887","53.7%","54.1%","35448","54.4%"
"Chainflail Centipede","B","C","146431","49.3%","54.1%","24702","52.4%"
"Webspinner Cuff","G","U","79947","63.6%","54.0%","13776","52.6%"
"Unforgiving One","B","U","37258","37.0%","54.0%","6294","52.5%"
"Reckoner's Bargain","B","C","46082","16.1%","54.0%","7396","50.5%"
"Covert Technician","U","U","68257","62.3%","54.0%","11664","54.6%"
"Blade-Blizzard Kitsune","W","U","66511","70.7%","54.0%","11459","54.5%"
"Naomi, Pillar of Order","WB","U","82978","63.1%","54.0%","13140","53.3%"
"Disruption Protocol","U","C","47309","16.8%","53.9%","7519","52.6%"
"Norika Yamazaki, the Poet","W","U","81413","81.0%","53.9%","14129","52.2%"
"Thirst for Knowledge","U","U","69487","55.3%","53.9%","11841","51.2%"
"Ecologist's Terrarium","","C","218100","64.1%","53.8%","40296","53.4%"
"Mirrorshell Crab","U","C","150844","49.8%","53.8%","24295","52.6%"
"Jin-Gitaxias, Progress Tyrant","U","M","19283","81.5%","53.8%","3138","54.8%"
"Raiyuu, Storm's Edge","WR","R","20548","59.9%","53.8%","3583","58.1%"
"Regent's Authority","W","C","29253","11.8%","53.8%","4569","54.1%"
"March of Swirling Mist","U","R","18745","45.7%","53.7%","2837","49.5%"
"Born to Drive","W","U","46475","49.7%","53.7%","7815","52.9%"
"Tamiyo, Compleated Sage","UG","M","20542","83.7%","53.7%","3533","53.9%"
"Debt to the Kami","B","C","36684","16.3%","53.6%","5874","53.5%"
"Scrapyard Steelbreaker","R","C","115507","37.8%","53.5%","18546","51.8%"
"Replication Specialist","U","U","95034","74.6%","53.5%","15423","51.9%"
"Imperial Recovery Unit","W","U","52503","56.5%","53.5%","8757","52.0%"
"Boon of Boseiju","G","U","26760","23.6%","53.5%","4110","52.1%"
"Rugged Highlands","","C","52908","37.5%","53.4%","9710","55.2%"
