"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Deeproot Wayfinder","G","R","41208","85.2%","54.1%","7434","59.0%"
"Chomping Kavu","G","C","163588","57.2%","54.1%","26503","53.4%"
"Vanquish the Weak","B","C","267643","83.4%","54.0%","45883","52.5%"
"Atraxa, Praetors' Voice","WUBG","M","10822","68.9%","54.0%","1749","57.2%"
"Expedition Lookout","U","C","126380","34.1%","54.0%","21775","52.9%"
"Surge of Salvation","W","U","34545","25.8%","54.0%","5168","54.2%"
"Jungle Hollow","","C","160931","70.6%","54.0%","29716","56.0%"
"Phyrexian Censor","W","U","88344","54.1%","54.0%","15078","54.9%"
"Ghalta and Mavren","WG","R","33069","71.4%","54.0%","5073","55.7%"
"Alabaster Host Sanctifier","W","C","177979","69.0%","54.0%","31716","55.1%"
"Swiftwater Cliffs","","C","139287","56.4%","54.0%","25598","55.8%"
"Phyrexian Awakening","W","U","109784","70.8%","54.0%","19023","54.0%"
"Render Inert","B","U","81062","43.4%","53.9%","13062","52.5%"
"Beamtown Beatstick","R","C","161866","50.9%","53.9%","27678","56.5%"
"Kithkin Billyrider","W","C","127075","50.5%","53.9%","21684","52.3%"
"Blighted Burgeoning","G","C","235384","73.5%","53.9%","41610","56.1%"
"Ayara, Widow of the Realm","B","R","45571","86.2%","53.9%","7906","52.8%"
"Flywheel Racer","","C","118222","31.7%","53.9%","20836","55.4%"
"Joyful Stormsculptor","UR","U","82366","43.5%","53.8%","13064","53.0%"
"Invasion of Kaladesh","UR","U","41527","26.0%","53.8%","7081","55.0%"
"Corrupted Conviction","B","C","94433","31.6%","53.8%","15401","52.8%"
"Dreg Recycler","B","C","181181","52.8%","53.8%","31443","53.8%"
"Thalia, Guardian of Thraben","W","R","16981","71.8%","53.7%","3012","55.9%"
"Zimone and Dina","UBG","M","16710","62.8%","53.7%","2784","55.5%"
"Skittering Surveyor","","C","285146","77.0%","53.7%","52252","53.1%"
"Serpent-Blade Assailant","G","C","164937","67.6%","53.7%","28308","53.8%"
"Sram, Senior Edificer","W","R","12541","46.9%","53.7%","2323","55.9%"
"Rona, Sheoldred's Faithful","UB","U","27311","22.3%","53.6%","4408","51.7%"
"Phyrexian Gargantua","B","U","138048","74.3%","53.6%","20935","51.8%"
"Moment of Truth","U","C","68315","20.8%","53.6%","11642","52.0%"
"Akki Scrapchomper","R","C","51354","17.9%","53.6%","8933","54.1%"
"Portent Tracker","G","C","239052","80.4%","53.6%","42507","56.6%"
"Inga and Esika","UG","R","37357","73.3%","53.6%","6338","55.9%"
"Invasion of Ikoria","G","R","31658","77.7%","53.5%","5039","52.9%"
"Timberland Ancient","G","C","183679","67.1%","53.5%","31054","51.6%"
"Goreclaw, Terror of Qal Sisma","G","R","19173","79.6%","53.5%","3156","53.5%"
"Kami of Whispered Hopes","G","U","129738","84.6%","53.5%","22998","54.8%"
"Gift of Compleation","B","U","127088","73.4%","53.5%","22585","53.4%"
"Invasion of Pyrulea","UG","U","78429","49.1%","53.4%","13206","54.3%"
"Daxos, Blessed by the Sun","W","U","56595","60.4%","53.4%","9486","53.2%"
"Gloomfang Mauler","B","C","210044","66.3%","53.4%","35487","51.3%"
"Inspired Charge","W","C","25459","10.1%","53.4%","3527","50.6%"
"Invasion of Karsus","R","R","32257","72.5%","53.4%","5489","53.6%"
"Thalia and The Gitrog Monster","WBG","M","17923","74.0%","53.4%","2978","57.1%"
