Name,Color,Rarity,# GP,% GP,GP WR,# OH,OH WR
Barrowin of Clan Undurr,WB,U,26798,58.20%,53.90%,5312,53.00%
Wild Shape,G,U,6647,14.70%,53.90%,1095,53.00%
You Come to the Gnoll Camp,R,C,19220,14.70%,53.90%,3120,50.90%
Dwarfhold Champion,W,C,81106,66.70%,53.80%,21290,55.30%
Planar Ally,W,C,72217,72.30%,53.80%,14436,52.50%
Check for Traps,B,U,23851,44.60%,53.80%,4470,54.00%
Ellywick Tumblestrum,G,M,7644,81.50%,53.70%,1259,53.70%
Minimus Containment,W,C,88297,81.10%,53.70%,19774,50.80%
"Zalto, Fire Giant Duke",R,R,13373,79.50%,53.70%,2118,53.80%
Djinni Windseer,U,C,57641,69.00%,53.70%,14605,54.40%
Teleportation Circle,W,R,18379,81.90%,53.70%,3207,53.50%
"Minsc, Beloved Ranger",WRG,M,4248,47.90%,53.60%,644,56.10%
You Happen On a Glade,G,U,28806,59.70%,53.60%,5461,51.30%
Guardian of Faith,W,R,12317,77.80%,53.60%,2120,51.70%
Potion of Healing,W,C,22042,21.40%,53.60%,5049,53.10%
Thieves' Tools,B,C,63278,50.10%,53.60%,12216,50.30%
Cloister Gargoyle,W,U,31030,67.10%,53.60%,6603,52.60%
Choose Your Weapon,G,U,18064,41.40%,53.50%,2894,52.20%
Rally Maneuver,W,U,30951,59.60%,53.40%,5189,51.80%
"Grazilaxx, Illithid Scholar",U,R,11301,74.90%,53.40%,2035,56.10%
Spare Dagger,,C,17445,13.30%,53.40%,3433,53.40%
Dire Wolf Prowler,G,C,44597,39.50%,53.40%,9668,51.70%
Eccentric Apprentice,U,U,24455,67.50%,53.30%,5185,53.20%
Demogorgon's Clutches,B,U,8433,23.20%,53.30%,1492,51.30%
Moon-Blessed Cleric,W,U,24332,53.80%,53.30%,4549,51.30%
The Book of Exalted Deeds,W,M,2718,37.10%,53.20%,395,
"Shessra, Death's Whisper",BG,U,16962,36.30%,53.20%,3099,50.00%
Herald of Hadar,B,C,29770,27.30%,53.20%,4928,50.20%
Iron Golem,,U,9855,26.20%,53.10%,1757,49.20%
Ingenious Smith,W,U,16044,45.20%,53.10%,3417,56.60%
The Tarrasque,G,M,4727,62.20%,53.10%,719,53.50%
Arcane Investigator,U,C,39131,42.50%,53.00%,8698,53.30%
Air-Cult Elemental,U,C,41520,39.00%,53.00%,7803,52.00%
Drider,B,U,23937,65.00%,52.90%,4109,49.20%
Devoted Paladin,W,C,45774,41.50%,52.90%,7901,52.40%
Displacer Beast,U,U,23094,64.50%,52.80%,4718,53.80%
Spiked Pit Trap,,C,38795,32.20%,52.80%,6897,49.80%
"Volo, Guide to Monsters",UG,R,12109,66.40%,52.80%,2104,53.60%
Oswald Fiddlebender,W,R,5521,33.10%,52.80%,947,53.90%
Ray of Frost,U,U,25034,64.70%,52.70%,5022,53.20%
Delver's Torch,W,C,59404,57.70%,52.70%,11520,51.60%
The Deck of Many Things,,M,9341,91.10%,52.70%,1491,48.70%
Clever Conjurer,U,C,32384,30.60%,52.70%,7352,53.90%
Charmed Sleep,U,C,47618,67.10%,52.70%,11418,51.20%
Half-Elf Monk,W,C,51263,43.40%,52.60%,9606,49.90%
Soulknife Spy,U,C,46474,53.50%,52.60%,11785,53.20%
Gretchen Titchwillow,UG,U,13136,30.40%,52.50%,2822,53.60%
You Find Some Prisoners,R,U,14138,29.00%,52.50%,2548,47.60%
You Come to a River,U,C,27085,27.70%,52.50%,5206,50.20%
Dragon's Disciple,W,U,6191,14.40%,52.40%,1234,50.70%
Green Dragon,G,U,21602,59.60%,52.40%,3483,51.70%
Scion of Stygia,U,C,46650,51.50%,52.40%,11428,50.70%
Bar the Gate,U,C,18906,22.40%,52.40%,3963,53.80%
Blue Dragon,U,U,23408,65.40%,52.40%,3934,51.10%
Eyes of the Beholder,B,C,28397,23.80%,52.40%,4585,47.90%
You See a Guard Approach,U,C,6757,6.80%,52.30%,1142,51.40%
Dungeon Map,,U,30899,58.50%,52.30%,5548,49.40%
Monk of the Open Hand,W,U,14621,39.60%,52.30%,2925,52.20%
Fighter Class,WR,R,7827,45.00%,52.30%,1393,46.40%
+2 Mace,W,C,39224,35.30%,52.30%,7333,48.80%
Neverwinter Dryad,G,C,24938,25.50%,52.30%,5406,53.10%
Fly,U,U,20113,57.60%,52.20%,3905,52.80%
Bulette,G,C,29951,30.30%,52.10%,5606,49.10%
Compelled Duel,G,C,11139,10.80%,52.10%,1973,49.60%
Blink Dog,W,U,12957,31.40%,52.00%,2469,50.10%
Pixie Guide,U,C,33721,42.40%,51.90%,8497,51.90%
Rimeshield Frost Giant,U,C,27739,29.90%,51.90%,5256,51.40%
Wizard Class,U,U,23211,68.80%,51.90%,4536,50.70%
Critical Hit,R,U,5867,14.80%,51.90%,940,49.00%
Feywild Trickster,U,U,17906,51.50%,51.90%,4014,52.30%
Contact Other Plane,U,C,41265,46.30%,51.70%,8259,48.90%
"Farideh, Devil's Chosen",UR,U,14198,35.30%,51.70%,3015,50.00%
You Find a Cursed Idol,G,C,32358,29.50%,51.70%,5920,47.00%
Long Rest,G,R,4538,27.30%,51.60%,692,48.70%
Trickster's Talisman,U,U,13794,37.20%,51.50%,2483,48.90%
Brazen Dwarf,R,C,16302,16.10%,51.50%,3778,50.80%
Paladin's Shield,W,C,17785,16.70%,51.50%,3142,48.10%
Eye of Vecna,,R,8997,65.60%,51.50%,1645,47.20%
Treasure Vault,,R,2363,17.00%,51.40%,373,
Shocking Grasp,U,C,12537,12.20%,51.40%,2549,49.50%
Greataxe,,C,5724,5.70%,51.30%,961,46.20%
Acererak the Archlich,B,M,6850,80.20%,51.30%,1186,47.30%
Loathsome Troll,G,U,16999,43.60%,51.30%,2823,46.40%
Leather Armor,,C,6084,6.10%,51.30%,1048,50.40%
Sphere of Annihilation,B,R,5222,45.10%,51.30%,888,49.50%
Tiamat,WUBRG,M,1029,14.30%,51.10%,154,
Split the Party,U,U,5864,15.00%,51.10%,896,48.70%
Keen-Eared Sentry,W,U,9664,23.90%,51.00%,1817,51.20%
Aberrant Mind Sorcerer,U,U,15362,40.30%,51.00%,2692,47.20%
Guild Thief,U,U,17245,58.20%,51.00%,3728,49.60%
Shortcut Seeker,U,C,25706,29.10%,51.00%,5353,50.50%
Secret Door,U,C,18783,19.70%,50.90%,3780,48.00%
You Find the Villains' Lair,U,C,11775,14.50%,50.90%,2298,50.40%
Find the Path,G,C,17724,18.60%,50.90%,3769,48.40%
Asmodeus the Archfiend,B,R,4496,39.30%,50.80%,703,46.20%
Ranger's Longbow,G,C,9800,9.30%,50.80%,1684,45.40%
Gloom Stalker,W,C,21032,21.70%,50.70%,4371,47.80%
Scaled Herbalist,G,C,12050,12.20%,50.60%,2328,50.40%
Orb of Dragonkind,R,R,640,3.80%,50.30%,101,
Devour Intellect,B,C,1456,1.40%,50.20%,254,
Demilich,U,M,1731,25.70%,50.10%,265,
Fifty Feet of Rope,,U,8475,20.10%,50.10%,1529,45.10%
Barbarian Class,R,U,9771,26.50%,49.80%,1896,46.60%
Wizard's Spellbook,U,R,3603,24.70%,49.80%,558,43.20%
Instrument of the Bards,G,R,2634,20.60%,49.70%,435,
Bag of Holding,,U,7144,16.10%,49.60%,1342,43.70%
Kick in the Door,R,C,5425,5.00%,49.40%,1016,46.80%
Minion of the Mighty,R,R,668,4.50%,49.30%,120,
Silver Raven,U,C,7252,9.90%,49.20%,1660,50.70%
Circle of Dreams Druid,G,R,2042,17.80%,49.10%,355,
Power of Persuasion,U,U,6477,18.80%,49.10%,1229,48.60%
Divine Smite,W,U,2347,5.90%,49.00%,376,
Flumph,W,R,2387,15.90%,49.00%,436,
Rogue Class,UB,R,5537,40.90%,48.90%,905,41.70%
Mimic,,C,3947,4.50%,48.60%,770,45.70%
Plummet,G,C,2216,2.10%,48.40%,371,
"Hama Pashar, Ruin Seeker",WU,U,12238,32.80%,48.40%,2490,44.40%
Monk Class,WU,R,4147,28.10%,47.50%,772,45.90%
Sudden Insight,U,U,1495,3.40%,47.30%,218,
Treasure Chest,,R,3450,37.80%,47.20%,543,38.90%
Dungeon Descent,,R,772,4.70%,46.90%,157,
Mordenkainen's Polymorph,U,C,1348,1.50%,45.90%,217,
Tasha's Hideous Laughter,U,R,1566,16.30%,45.70%,302,
The Blackstaff of Waterdeep,U,R,1493,10.70%,45.60%,271,
True Polymorph,U,R,1473,11.50%,45.30%,208,
The Scarab God,UB,M,1462,87.50%,61.90%,265,
"Unesh, Criosphinx Sovereign",U,M,1367,82.30%,61.70%,247,
Glorybringer,R,R,2665,90.90%,61.10%,433,
Sand Strangler,R,U,10602,84.10%,60.70%,1963,65.90%
Insult // Injury,R,R,2593,82.20%,60.50%,450,
"Samut, Voice of Dissent",RG,M,1188,75.60%,60.40%,193,
Struggle // Survive,RG,U,9103,83.00%,60.40%,1770,61.10%
Vizier of the Anointed,U,U,5722,57.70%,60.30%,1059,61.20%
"Jace, Unraveler of Secrets",U,M,1193,86.60%,60.30%,192,
Sunscourge Champion,W,U,8476,88.10%,60.20%,1671,62.20%
Angel of Sanctions,W,M,1262,90.20%,60.00%,204,
Oketra the True,W,M,1315,94.90%,59.90%,232,
Farm // Market,WU,U,5863,71.10%,59.90%,1153,59.20%
Ahn-Crop Crasher,R,U,9032,89.60%,59.80%,1846,60.70%
Heaven // Earth,RG,R,1212,52.60%,59.80%,204,
Steward of Solidarity,W,U,8638,87.00%,59.70%,1732,64.40%
"Temmet, Vizier of Naktamun",WU,R,1418,61.80%,59.60%,269,
Champion of Wits,U,R,2825,88.40%,59.50%,460,
Earthshaker Khenra,R,R,2900,88.90%,59.40%,538,64.70%
Aven Wind Guide,WU,U,4836,62.30%,59.40%,948,61.40%
Deem Worthy,R,U,10102,85.50%,59.40%,1954,61.00%
Commit // Memory,U,R,1768,75.10%,59.30%,267,
The Scorpion God,BR,M,1399,87.20%,59.30%,264,
Glory-Bound Initiate,W,R,2692,89.10%,59.20%,483,
"Nicol Bolas, God-Pharaoh",UBR,M,994,76.20%,59.20%,165,
Labyrinth Guardian,U,U,8479,82.10%,59.10%,1727,61.40%
Magma Spray,R,C,22094,85.50%,59.00%,5121,62.80%
Desert's Hold,W,U,8559,87.50%,59.00%,1578,60.70%
Trial of Zeal,R,U,10409,89.20%,58.90%,2069,60.40%
Ramunap Ruins,,U,8739,87.60%,58.90%,1747,58.30%
Lay Claim,U,U,8836,84.00%,58.90%,1703,56.70%
Cut // Ribbons,BR,R,2792,89.40%,58.80%,475,
Burning-Fist Minotaur,R,U,9142,87.50%,58.80%,1840,59.90%
Sacred Cat,W,C,10445,65.30%,58.80%,2152,61.10%
Wrath of God,W,R,1773,77.60%,58.80%,293,
Cast Out,W,U,8603,88.50%,58.70%,1579,58.50%
Magmaroth,R,U,4938,66.10%,58.70%,965,56.70%
Shefet Dunes,,U,7915,85.00%,58.70%,1535,60.90%
Dusk // Dawn,W,R,1923,77.30%,58.70%,305,
Oketra's Avenger,W,C,18234,80.60%,58.60%,4531,60.40%
Nimble Obstructionist,U,R,2132,85.40%,58.60%,356,
Fan Bearer,W,C,17421,81.00%,58.60%,3776,61.80%
Desert of the Fervent,,C,23202,82.80%,58.50%,5519,60.00%
Abrade,R,U,9481,91.80%,58.50%,1884,60.20%
Never // Return,B,R,2486,87.10%,58.50%,430,
Vizier of Tumbling Sands,U,U,7108,77.30%,58.40%,1354,60.00%
Desert of the True,,C,21484,81.10%,58.40%,5036,58.40%
Consign // Oblivion,UB,U,4826,60.80%,58.40%,915,58.00%
Gust Walker,W,C,21471,86.10%,58.40%,5727,60.30%
Ifnir Deadlands,,U,8053,83.90%,58.40%,1590,59.60%
Archfiend of Ifnir,B,R,2554,88.90%,58.30%,419,
Cartouche of Solidarity,W,C,15677,80.20%,58.20%,3312,59.50%
Battlefield Scavenger,R,U,6858,83.40%,58.20%,1381,59.90%
Honored Crop-Captain,WR,U,5592,68.80%,58.20%,1131,61.80%
