"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Captivating Unicorn","W","C","4728","43.2%","53.8%","741","52.4%"
"Cling to Dust","B","U","2386","44.8%","53.8%","420",""
"Nyxborn Courser","W","C","4360","36.7%","53.7%","727","53.8%"
"Dryad of the Ilysian Grove","G","R","1341","76.9%","53.7%","252",""
"Grim Physician","B","C","4287","34.7%","53.7%","736","56.0%"
"Indomitable Will","W","C","6400","54.3%","53.7%","984","51.9%"
"Soul-Guide Lantern","","U","1426","28.3%","53.6%","245",""
"Impending Doom","R","U","1714","37.6%","53.6%","288",""
"Taranika, Akroan Veteran","W","R","1907","88.5%","53.5%","325",""
"Nyxborn Seaguard","U","C","2220","17.0%","53.5%","368",""
"Dreamshaper Shaman","R","U","1889","43.9%","53.5%","315",""
"Brine Giant","U","C","5569","44.6%","53.5%","848","52.7%"
"Calix, Destiny's Hand","WG","M","693","77.1%","53.4%","123",""
"Ichthyomorphosis","U","C","7496","60.9%","53.4%","1256","51.0%"
"Shoal Kraken","U","U","2702","54.3%","53.4%","416",""
"Hero of the Games","R","C","5661","40.5%","53.4%","932","53.8%"
"Pharika's Libation","B","C","2461","23.6%","53.3%","410",""
"Infuriate","R","C","4286","34.8%","53.2%","685","52.3%"
"Setessan Skirmisher","G","C","4328","38.8%","53.2%","737","54.3%"
"Gift of Strength","G","C","1550","15.5%","53.2%","250",""
"Heliod's Punishment","W","U","2756","68.4%","53.2%","452",""
"Favored of Iroas","W","U","3268","79.4%","53.1%","544","52.8%"
"Stampede Rider","R","C","4538","38.9%","53.1%","772","52.1%"
"Thassa's Oracle","U","R","1555","70.7%","53.1%","260",""
"Stinging Lionfish","U","U","3774","72.8%","53.0%","651","57.5%"
"Wrap in Flames","R","C","3691","25.0%","53.0%","588","49.8%"
"Altar of the Pantheon","","C","3248","28.9%","53.0%","587","50.3%"
"Flummoxed Cyclops","R","C","5100","37.2%","52.9%","816","50.6%"
"Naiad of Hidden Coves","U","C","7557","58.7%","52.7%","1361","51.1%"
"Eutropia the Twice-Favored","UG","U","3063","66.4%","52.5%","547","55.6%"
"Wings of Hubris","","C","2061","16.8%","52.5%","325",""
"Irreverent Revelers","R","C","1144","10.9%","52.4%","182",""
"Furious Rise","R","U","1567","38.3%","52.3%","263",""
"Shatter the Sky","W","R","1473","73.7%","52.2%","257",""
"Hero of the Winds","W","U","2212","51.9%","52.2%","340",""
"Thrill of Possibility","R","C","4499","32.1%","52.1%","771","50.7%"
"Protean Thaumaturge","U","R","1724","79.5%","51.9%","296",""
"Nyxborn Colossus","G","C","3296","33.2%","51.9%","504","49.0%"
"Enemy of Enlightenment","B","U","1785","47.6%","51.8%","247",""
"Devourer of Memory","UB","U","2688","48.3%","51.7%","474",""
