"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Intrepid Outlander","G","U","48189","86.1%","55.9%","10085","58.3%"
"Hoard Robber","B","C","96616","74.6%","55.9%","22208","58.6%"
"Tiger-Tribe Hunter","R","U","49212","72.1%","55.9%","8550","53.9%"
"Hobgoblin Bandit Lord","R","R","17673","78.0%","55.9%","3121","55.4%"
"Icingdeath, Frost Tyrant","W","M","8706","87.1%","55.8%","1508","62.6%"
"Precipitous Drop","B","C","106050","80.2%","55.8%","25397","55.4%"
"Lurking Roper","G","U","45696","76.1%","55.8%","9690","57.5%"
"Ochre Jelly","G","R","19632","89.8%","55.7%","3452","56.3%"
"Trelasarra, Moon Dancer","WG","U","30292","65.2%","55.7%","6770","59.4%"
"Clattering Skeletons","B","C","71051","57.6%","55.7%","14325","55.6%"
"Farideh's Fireball","R","C","100072","74.9%","55.7%","18980","53.5%"
"Bull's Strength","G","C","62292","45.0%","55.7%","12054","53.6%"
"Prosperous Innkeeper","G","U","41844","83.0%","55.6%","8758","59.5%"
"Baleful Beholder","B","C","59273","42.3%","55.6%","9475","53.8%"
"Paladin Class","W","R","18585","86.9%","55.6%","3360","59.8%"
"Jaded Sell-Sword","R","C","60161","44.1%","55.5%","11697","55.1%"
"Cleric Class","W","U","29064","62.7%","55.5%","5703","55.2%"
"Priest of Ancient Lore","W","C","108150","83.4%","55.5%","28663","57.8%"
"You're Ambushed on the Road","W","C","19234","16.2%","55.5%","3346","55.0%"
"Inspiring Bard","G","C","76035","58.8%","55.5%","16326","54.5%"
"Fates' Reversal","B","C","60916","43.2%","55.5%","10807","52.7%"
"Owlbear","G","C","108918","81.8%","55.4%","26209","56.2%"
"Dancing Sword","W","R","19448","86.5%","55.4%","3467","56.3%"
"Spoils of the Hunt","G","C","110560","80.2%","55.4%","26790","54.1%"
"Triumphant Adventurer","WB","R","13857","70.7%","55.3%","2494","63.4%"
"Yuan-Ti Fang-Blade","B","C","98820","85.3%","55.3%","22871","55.5%"
"Gnoll Hunter","G","C","98434","76.8%","55.3%","27370","57.0%"
"Grand Master of Flowers","W","M","8649","82.9%","55.3%","1492","59.5%"
"Yuan-Ti Malison","U","R","12936","78.9%","55.3%","2440","64.7%"
"Wandering Troubadour","G","U","44544","83.9%","55.2%","8662","56.5%"
"Rust Monster","R","U","45691","70.2%","55.2%","8911","53.4%"
"Hill Giant Herdgorger","G","C","100283","69.9%","55.2%","20092","55.0%"
"Dungeon Crawler","B","U","33861","61.6%","55.2%","6915","58.7%"
"Circle of the Moon Druid","G","C","72955","58.8%","55.2%","16997","56.2%"
"Zombie Ogre","B","C","74289","55.6%","55.1%","13807","53.8%"
"Evolving Wilds","","C","135120","90.5%","55.1%","29719","56.8%"
"Xanathar, Guild Kingpin","UB","M","10288","89.2%","55.1%","1700","58.1%"
"Elturgard Ranger","G","C","74721","54.6%","55.1%","14556","55.1%"
"Steadfast Paladin","W","C","108093","83.6%","54.9%","29171","58.0%"
"Temple of the Dragon Queen","","U","56809","87.2%","54.9%","11427","56.7%"
"Loyal Warhound","W","R","15517","81.8%","54.9%","2876","58.5%"
"Cave of the Frost Dragon","","R","15140","80.0%","54.8%","2758","57.8%"
"You Hear Something on Watch","W","C","88417","72.0%","54.8%","20132","55.3%"
"Veteran Dungeoneer","W","C","78284","65.7%","54.7%","18113","56.2%"
"Boots of Speed","R","C","66627","42.0%","54.7%","12808","54.0%"
"White Dragon","W","U","39690","82.4%","54.7%","6742","54.4%"
"Armory Veteran","R","C","83014","57.3%","54.7%","20291","54.8%"
"Old Gnawbone","G","M","7780","83.6%","54.6%","1198","55.1%"
"Xorn","R","R","14514","75.3%","54.6%","2551","52.9%"
"Lightfoot Rogue","B","U","34228","80.2%","54.6%","6847","55.7%"
"Underdark Basilisk","G","C","90374","75.1%","54.6%","22588","54.7%"
"Mordenkainen","U","M","7734","79.5%","54.6%","1220","56.4%"
"Dueling Rapier","R","C","54393","41.1%","54.5%","10421","54.3%"
"Death-Priest of Myrkul","B","U","40830","82.5%","54.5%","7511","51.9%"
"You Meet in a Tavern","G","U","24004","50.3%","54.5%","4040","52.3%"
"Manticore","B","C","48368","41.8%","54.5%","8705","52.3%"
"Unexpected Windfall","R","C","50069","36.3%","54.4%","8740","51.1%"
"Portable Hole","W","U","38479","72.1%","54.4%","7167","53.2%"
"Celestial Unicorn","W","C","62388","62.8%","54.4%","16613","55.4%"
"Hand of Vecna","","R","17115","85.7%","54.3%","2990","54.8%"
"Krydle of Baldur's Gate","UB","U","22164","53.5%","54.3%","4535","57.1%"
"Delina, Wild Mage","R","R","17769","89.7%","54.2%","3092","52.7%"
"Froghemoth","G","R","17108","86.8%","54.2%","2905","53.2%"
"Hall of Storm Giants","","R","9787","69.1%","54.2%","1803","59.0%"
"Skeletal Swarming","BG","R","20931","88.7%","54.1%","3539","54.2%"
"Plate Armor","W","U","50064","82.4%","54.1%","9451","53.8%"
"Arborea Pegasus","W","C","83801","68.9%","54.1%","18451","53.1%"
"Ranger's Hawk","W","C","66062","55.7%","54.1%","14876","55.7%"
"Goblin Javelineer","R","C","38699","33.6%","54.0%","8820","55.8%"
"Bruenor Battlehammer","WR","U","34220","62.0%","54.0%","7210","56.6%"
"Purple Worm","G","U","38346","77.4%","54.0%","6284","52.5%"
"Vorpal Sword","B","R","15073","81.9%","54.0%","2573","53.0%"
"Dragon Turtle","U","R","10078","71.7%","54.0%","1799","55.4%"
"Sylvan Shepherd","G","C","54609","53.8%","54.0%","12380","54.5%"
"Dawnbringer Cleric","W","C","73518","65.5%","54.0%","15971","52.9%"
"Druid Class","G","U","20489","51.2%","53.9%","3873","53.9%"
"Barrowin of Clan Undurr","WB","U","26798","58.2%","53.9%","5312","53.0%"
"Wild Shape","G","U","6647","14.7%","53.9%","1095","53.0%"
"You Come to the Gnoll Camp","R","C","19220","14.7%","53.9%","3120","50.9%"
"Dwarfhold Champion","W","C","81106","66.7%","53.8%","21290","55.3%"
"Planar Ally","W","C","72217","72.3%","53.8%","14436","52.5%"
"Check for Traps","B","U","23851","44.6%","53.8%","4470","54.0%"
"Ellywick Tumblestrum","G","M","7644","81.5%","53.7%","1259","53.7%"
"Minimus Containment","W","C","88297","81.1%","53.7%","19774","50.8%"
"Zalto, Fire Giant Duke","R","R","13373","79.5%","53.7%","2118","53.8%"
"Djinni Windseer","U","C","57641","69.0%","53.7%","14605","54.4%"
"Teleportation Circle","W","R","18379","81.9%","53.7%","3207","53.5%"
"Minsc, Beloved Ranger","WRG","M","4248","47.9%","53.6%","644","56.1%"
"You Happen On a Glade","G","U","28806","59.7%","53.6%","5461","51.3%"
"Guardian of Faith","W","R","12317","77.8%","53.6%","2120","51.7%"
"Potion of Healing","W","C","22042","21.4%","53.6%","5049","53.1%"
"Thieves' Tools","B","C","63278","50.1%","53.6%","12216","50.3%"
