"Name","Color","Rarity","# GP","% GP","GP WR","# OH","OH WR"
"Patchwork Crawler","U","R","741","37.3%","53.0%","121",""
"Unnatural Growth","G","R","1346","65.6%","52.9%","204",""
"Laid to Rest","G","U","823","31.4%","52.9%","127",""
"Turn the Earth","G","U","508","14.8%","52.8%","75",""
"Mysterious Tome","U","U","1462","33.2%","52.6%","261",""
"Tavern Ruffian","R","C","1285","16.7%","52.5%","223",""
"Sigarda's Splendor","W","R","870","47.2%","52.5%","145",""
"Willow Geist","G","R","766","35.1%","52.2%","130",""
"Pyre Spawn","R","C","746","9.4%","52.1%","115",""
"Serpentine Ambush","U","C","836","8.5%","51.8%","130",""
"Sigarda's Summons","W","R","535","29.5%","51.8%","88",""
"Mystic Skull","","U","868","26.1%","51.3%","158",""
"Old Stickfingers","BG","R","610","29.9%","51.1%","89",""
"Dreadlight Monstrosity","U","C","1131","12.1%","51.1%","180",""
"Heirloom Mirror","B","U","517","17.1%","51.1%","92",""
"Howling Moon","G","R","813","51.5%","50.6%","144",""
"Component Collector","U","C","740","7.0%","49.9%","139",""
"Curse of Hospitality","R","R","773","47.6%","49.2%","138",""
"Cathar's Call","W","U","472","28.6%","","77",""
"Curse of Silence","W","R","9","0.3%","","1",""
"Hedgewitch's Mask","W","C","242","3.5%","","35",""
"Thraben Exorcism","W","C","63","0.8%","","11",""
"Duress","B","C","215","3.5%","","24",""
"Necrosynthesis","B","U","154","9.5%","","24",""
"Curse of Shaken Faith","R","R","100","5.6%","","16",""
"Bramble Armor","G","C","187","2.6%","","35",""
"Plummet","G","C","228","3.1%","","29",""
"Return to Nature","G","C","126","1.7%","","29",""
"Dire-Strain Rampage","RG","R","180","8.1%","","29",""
"Ghoulcaller's Harvest","BG","R","337","16.1%","","51",""
"Hallowed Respite","WU","R","491","19.5%","","80",""
"Rite of Harmony","WG","R","93","4.2%","","17",""
"Wake to Slaughter","BR","R","311","15.1%","","45",""
"Moonsilver Key","","U","195","5.7%","","38",""
"Pithing Needle","","R","11","0.4%","","0",""
"Stuffed Bear","","C","90","1.4%","","7",""
"Field of Ruin","","U","109","3.9%","","18",""
"Hostile Hostel","","M","355","47.1%","","51",""
"Bride's Gown","W","U","104","3.5%","","8",""
"Dawnhart Geist","W","U","394","12.4%","","74",""
"Hallowed Haunting","W","M","300","25.3%","","45",""
"Ollenbock Escort","W","U","466","18.1%","","76",""
"Radiant Grace","W","U","278","8.8%","","44",""
"Sanctify","W","C","35","0.5%","","7",""
"Supernatural Rescue","W","C","452","5.7%","","70",""
"Consuming Tide","U","R","210","11.6%","","35",""
"Winged Portent","U","R","224","8.6%","","33",""
"Demonic Bargain","B","R","10","0.3%","","0",""
"Dread Fugue","B","U","230","9.7%","","31",""
"Dying to Serve","B","R","239","11.7%","","42",""
"Groom's Finery","B","U","137","4.5%","","19",""
"Skulking Killer","B","U","327","12.8%","","58",""
"Unhallowed Phalanx","B","C","445","6.3%","","69",""
"Change of Fortune","R","R","5","0.2%","","1",""
"End the Festivities","R","C","266","3.4%","","62",""
"Frenzied Devils","R","U","358","11.1%","","55",""
"Honeymoon Hearse","R","U","261","9.0%","","41",""
"Into the Night","R","U","87","2.9%","","17",""
"Bramble Armor","G","C","253","3.2%","","45",""
"Cartographer's Survey","G","U","178","7.2%","","28",""
"Crawling Infestation","G","U","405","13.5%","","70",""
"Cultivator Colossus","G","M","476","68.5%","","80",""
"Sheltering Boughs","G","C","182","2.8%","","24",""
"Splendid Reclamation","G","R","18","0.7%","","2",""
"Kaya, Geist Hunter","WB","M","201","33.7%","","36",""
"Boarded Window","","U","106","4.3%","","16",""
"Lantern of the Lost","","U","80","2.2%","","19",""
